Channel no.,"Channel's region
(detailed)",x-coordinate,y-coordinate,z-coordinate,"Channel region
(use this)"
1,Superior Frontal Gyrus          Frontal_Sup_Orb_R,11.70344828,58.50344828,-22.22758621,'Frontal_Sup_Orb_R'
2,Inferior Frontal Gyrus           Frontal_Inf_Tri_R,49.14906832,35.1242236,14.46583851,'Frontal_Inf_Tri_R'
3,Lingual Gyrus                         Lingual_R,21.8,-58.16,0.46,'Lingual_R'
4,Insula                   Insula_R,38.07526882,-5.774193548,9.150537634,'Insula_R'
5,Extra-Nuclear               Putamen_L,-24.74883721,-4.851162791,-7.63255814,'Putamen_L'
6,Temporal_Mid_R,70.73809524,-30.26190476,-1.785714286,'Temporal_Mid_R'
7,Precuneus                  Precuneus_R,17.95934959,-65.14634146,24.96747967,'Precuneus_R'
8,Frontal_Sup_Medial_L,-0.97260274,25.10045662,40.83561644,'Frontal_Sup_Medial_L'
9,Parahippocampa Gyrus,-20.95555556,-26.24444444,-14.2,'ParahippocampaGyrus'
10,Superior Frontal Gyrus           Frontal_Sup_L,-12.54189944,45.79329609,42.40782123,'Frontal_Sup_L'
11,Frontal_Inf_Orb_L,-19.82840237,9.201183432,-25.15384615,'Frontal_Inf_Orb_L'
12,Inferior Temporal Gyrus          Temporal_Mid_R,63.10526316,-6.871345029,-18.39181287,'Temporal_Mid_R'
13,Sub-Gyral            Paracentral_Lobule_R,14.89705882,-35.02941176,48.29411765,'Paracentral_Lobule_R'
14,Inferior Frontal Gyrus           Frontal_Inf_Tri_L,-44.93710692,37.28930818,10.93710692,'Frontal_Inf_Tri_L'
15,Cuneus            Cuneus_L,-9.422857143,-90.39428571,33.16,'Cuneus_L'
16,Lingual Gyrus             Lingual_R,19.34254144,-98.74585635,-9.674033149,'Lingual_R'
17,Caudate            Caudate_R,14.70616114,13.69194313,1.909952607,'Caudate_R'
18,Superior Temporal Gyrus         Temporal_Sup_L,-61.81773399,-25.82758621,12.92118227,'Temporal_Sup_L'
19,Extra-Nuclear         Caudate_L,-14.23684211,-7.5,18.68421053,'Caudate_L'
20,Middle Temporal Gyrus     Temporal_Mid_L,-58.06849315,-5.054794521,-19.79452055,'Temporal_Mid_L'
21,Cuneus        Calcarine_R,3.007168459,-79.95340502,6.806451613,'Calcarine_R'
22,Superior Frontal Gyrus       Frontal_Mid_Orb_L,-30.9205298,56.61589404,-13.43708609,'Frontal_Mid_Orb_L'
23,Inferior Frontal Gyrus       Frontal_Inf_Orb_R,50.31111111,35.95555556,-11.84444444,'Frontal_Inf_Orb_R'
24,Orbital Gyrus     Rectus_R,11.87850467,37.42990654,-29.01869159,'Rectus_R'
25,Supramarginal Gyrus     SupraMarginal_R,62.81176471,-45.25882353,33.37647059,'SupraMarginal_R'
26,Lateral Globus Pallidus   Pallidum_R,23.96969697,-7.161616162,-5.323232323,'Pallidum_R'
27,Thalamus      Pulvinar // Thalamus_R,19.64285714,-30.83333333,8.976190476,'Thalamus_R'
28,Inferior Frontal Gyrus      Frontal_Inf_Orb_L,-46.13580247,36.87654321,-12.55555556,'Frontal_Inf_Orb_L'
29,Postcentral Gyrus      SupraMarginal_L,-59.12121212,-28.80606061,38.91515152,'SupraMarginal_L'
30,Anterior Cingulate     Cingulum_Ant_L,-9.509090909,44.52727273,10.07272727,'Cingulum_Ant_L'
31,Sub-Gyral    Parietal_Inf_R,34.32110092,-50.5412844,42.06422018,'Parietal_Inf_R'
32,Caudate Head    Caudate_L,-11.29268293,12.2097561,3.517073171,'Caudate_Head_L'
33,Lingual Gyrus    Lingual_L,-18.6635514,-75.95327103,-8.831775701,'Lingual_L'
34,Middle Frontal Gyrus     Precentral_R,24.0880829,-4.005181347,50.0984456,'Precentral_R'
35,Extra-Nuclear     Insula_R,35.83597884,20.05820106,0.64021164,'Insula_R'
36,Precentral Gyrus    Postcentral_R,39.86538462,-22.34615385,43.17307692,'Postcentral_R'
37,Precuneus    Cuneus_L,-13.13793103,-68.67241379,24.72413793,'Cuneus_L'
38,Superior Occipital Gyrus     Occipital_Mid_R,38.64583333,-82.4375,29.5,'Occipital_Mid_R'
39,Insula     Insula_L,-35.11881188,-7.198019802,11.27722772,'Insula_L'
40,Thalamus      Thalamus_R,2.581920904,-14.49152542,6.762711864,'Thalamus_R'
41,Middle Temporal Gyrus   Temporal_Mid_R,50.65656566,-32.03030303,-3.121212121,'Temporal_Mid_R'
42,Paracentral Lobule     Cingulum_Mid_L,-11.88311688,-37.1038961,50.28138528,'Cingulum_Mid_L'
43,Middle Frontal Gyrus      Frontal_Mid_L,-45.47368421,22.97368421,35.65789474,'Frontal_Mid_L'
44,Middle Frontal Gyrus    Frontal_Mid_R,47.11111111,26.55555556,37.06666667,'Frontal_Mid_R'
45,Middle Frontal Gyrus      Frontal_Mid_L,-27.72727273,20.85645933,47.66028708,'Frontal_Mid_L'
46,Middle Occipital Gyrus    Cuneus_R,16.19526627,-99.93491124,12.07692308,'Cuneus_R'
47,Superior Frontal Gyrus    Frontal_Sup_R,15.3373494,47.40963855,42.71084337,'Frontal_Sup_R'
48,Cingulate Gyrus      Cingulum_Post_L,0.401869159,-42.73831776,27.41121495,'Cingulum_Post_L'
49,Postcentral Gyrus      Postcentral_L,-37.625,-24.3125,42.375,'Postcentral_L'
50,Middle Occipital Gyrus    Occipital_Mid_R,34.59183673,-89.14285714,8.387755102,'Occipital_Mid_R'
51,Rectal Gyrus     Frontal_Sup_Orb_L,-8.112781955,40.35338346,-28.92481203,'Frontal_Sup_Orb_L'
52,Middle Frontal Gyrus       Frontal_Mid_L,-31.42512077,39.1352657,28.3236715,'Frontal_Mid_L'
53,Precentral Gyrus     Precentral_L,-46.95604396,0.032967033,48.8021978,'Precentral_L'
54,Cingulate Gyrus      Cingulum_Mid_R,1.913242009,5.812785388,35.24657534,'Cingulum_Mid_R'
55,Superior Frontal Gyrus      Frontal_Sup_Medial_R,10.32571429,60.23428571,24.68,'Frontal_Sup_Medial_R'
56,Lingual Gyrus       Lingual_L,-16,-59.47826087,0.565217391,'Lingual_L'
57,Middle Occipital Gyrus     Occipital_Mid_L,-28.43478261,-96.04347826,-2.152173913,'Occipital_Mid_L'
58,Precentral Gyrus     Precentral_R,49.75,-0.375,49.775,'Precentral_R'
59,Lingual Gyrus      Calcarine_L,-8.372093023,-99.02325581,-11.18604651,'Calcarine_L'
